 1 abattement bactérien	abbattimento batterico	     
 1 à cet endroit là	in sede	     
 1 affection opportuniste	infezione opportunistica	     
 1 affections professionnelles	malattie professionali	     
 1 à l'aide de l'enveloppe M. le Médecin-Conseil	in/tramite busta intestata al medico di fiducia / consulente medico	     
 1 à l'endroit prévu à cet effet auprès de/dans la zone de stockage des matières premières	nell'apposito sito del magazzino materie prime	     
 1 anneau adhésif	anello adesivo	     
 1 autoclave de laboratoire/ de table	autoclave da banco	     
 1 bande de contention détendue	benda di contenzione (/ benda di contenimento) allentata	     
 1 blessure décelée	ferita riscontrata	     
 1 boucle magnétique	anello di induzione magnetica	     
 1 bourgeois	lutiano imperiale, Lutjanus sebae	     
 1 caisse d'assurance maladie belge	Cassa Mutua del Servizio sanitario belga	     
 1 carte «porteur»	tesserino identificativo di portatore /di portatori	     
 1 cellules toniques	cellule toniche	     
 1 Centre de Recherche en Nutrition Humaine (CNRH)	Centro Ricerche sulla Nutrizione umana (C.R.N.)	     
 1 Centre hospitalier	Presidio ospedaliero	     
 1 charge bactérienne / bactéries résiduelles	quantità di carica batterica / residuo di batteri	     
 1 chlorure de sodium anhydre	cloruro di sodio anidro	     
 1 clinique	quadro clinico / storia clinica	     
 1 coagulopathie	coagulopatia	     
 1 code pharmaceutique / pharmacode	codice canale farmaceutico	     
 1 coin de compresse	angolo di garza	     
 1 coliformes totaux	coliformi totali	     
 1 colle qui referme la plaie	colla che sigilla la ferita	     
 1 compression de la région périnéale	compressione sul piano perineale	     
 1 Compression sur le nerf pudendal	Compressione sul nervo pudendo	     
 1 condyle sans ciment	condilo / impianto senza cemento	     
 1 contrôle hygiénique et sanitaire	perizia igienico-sanitaria	     
 1 copie de la commande interne de référence	copia dell'ordine interno di riferimento	     
 1 cortex	corteccia	     
 1 croûtes palpébrales (/ croûtes sur les paupières) au réveil	Croste palpebrali al risveglio	     
 1 dans la partie vertébrale	nel tratto vertebrale	     
 1 dans le dossier de la zone/du local de stockage stérile	nel faldone del magazzino	     
 1 décalage du fémur	off-set del femore	     
 1 déchets métaboliques	scorie metaboliche	     
 1 désaccouplement	disaccoppiamento	     
 1 différents éléments comme latmosphère	diversi fattori, come l'atmosfera	     
 1 dispositif médical adjuvant dans la limitation de la charge microbienne	dispositivo medico coadiuvante nel controllo della carica microbica	     
 1 Du point de vue étiopathogénique --	Dal punto di vista eziopatogenetico ...	     
 1 écrasement des vaisseaux sanguins/ sur l'arc pubien	pinzettamento /  sullarco pubico	     
 1 ECSIE - évaluation du comportement sismique	valutazione del comportamento sismico	     
 1 effets nuisibles sur l'anatomo-physiologie de l'athlète	effetti dannosi sullanatomo fisiologia dellatleta	     
 1 en position médiale	medialmente	     
 1 entraînement électro-systolique 3 chambres	Pacemaker tricamerale	     
 1 entraînement électro-systolique couplé à un défibrillateur	pacemaker-defibrillatore	     
 1 éosine	eosina	     
 1 est en fonction inverse de la température	é in funzione inversa con la temperatura	     
 1 états grippaux	forme influenzali	     
 1 faire redouter	fare temere	     
 1 feuilles d'actes	schede di prestazioni	     
 1 hémocoagulantes	emo-coagulative	     
 1 hépatite alcoolique aiguë sévère	epatite alcolica acuta grave	     
 1 hypoperfusion sanguine pénienne	ipoperfusione sanguigna peniena	     
 1 impression	illusione	     
 1 indolence	assenza di dolore	     
 1 infection bactérienne	infezione batterica	     
 1 introduire un nouvel aliment dans l'alimentation	assumere qualche nuovo alimento	     
 1 introduire un nouvel aliment (/élément)  dans l'alimentation	assumere qualche nuovo alimento	     
 1 IVA thrombosée	IVA = arteria interventricolare anteriore trombizzata	     
 1 je vais souvent à la selle...	vado spesso di corpo	     
 1 la face interne de l'avant-bras	la parte volare	     
 1 lagune agitée	laguna agitata (meccanicamente)	     
 1 la région périnéale / la zone du périnée	la regione perineale	     
 1 le plancher orbitaire	pavimento della cavità orbitaria / pavimento orbitario	     
 1 limitation du genre daliments	limitazione in tipologia	     
 1 liqueur sulfitique	liquidi solfitici/sulfurei (residui)	     
 1 lit Total Care Sport à réglage électrique	letto con scale	     
 1 lit Total Care Sport à réglage électrique	letto Total Care Sport con scale	     
 1 Médecin promoteur de la démarche, vu la nécessité d'effectuer...	Medico proponente in merito alla necessità di eseguire	     
 1 minivis à tête braquet	minivite con testa a forma di bracket / sistema di ancoraggio minivite	     
 1 mode d'emploi - précaution d'emploi	applicazione - precauzioni d'uso	     
 1 nicotinate d'éthyle / éthylnicotinate	nicotinato di etile	     
 1 N° IPP (Institut de Puériculture et de Périnatalogie)	N° IPP	     
 1 numération formule plaquettaire	plastinocrito	     
 1 osmosi inversa (r.o) / reverse osmosis (R.O.) / osmose inverse	r.o.	     
 1 osmosi inversa (r.o) / sur osmose inverse [R.O. (chemistry / chimica) = Reverse Osmosis]	r.o. / su r.o.	     
 1 paramètres fémoraux	parametri femorali	     
 1 parcours clinique difficile de la personne (/ du patient)	pesante iter clinico della persona (/ del paziente)	     
 1 par rapport à	compatibilmente con	     
 1 PATHOLOGIE PULMONAIRE	patologia polmonare; pneumopatia	     
 1 Perméabilité de la veine fémorale commune homolatérale	Pervia la vena femorale comune omolaterale.	     
 1 petite chirurgie	chirurgia ambulatoriale	     
 1 pharmacie dofficine	farmacia aperta al pubblico	     
 1 pharmacien référent mutuelliste	farmacista convenzionato con gli enti mutualistici	     
 1 pharmacies minières	farmacie minerarie	     
 1 phase d'appui monopodalique	fase di appoggio monopodalico	     
 1 phénomène de compression exercé sur les structures du plancher pelvien	compressione sulle strutture del pavimento pelvico	     
 1 pièce d'hystérectomie	campione di isterectomia	     
 1 plans transparents	piani trasparenti	     
 1 plantes coloniales	droghe coloniali	     
 1 Plateaux amovibles	Bacinelle	     
 1 point d'invalidité permanente	punto di invalidità permanente	     
 1 Polyclinique universitaire	Cittadella Universitaria Policlinica	     
 1 pontages saphènes / ponts saphènes	bypass delle safene /bypass safene	     
 1 pression partielle pénienne transcutanée d'oxygène / pression partielle pénienne d'oxygène par voie transcutanée	pressione parziale dellossigeno peniena per via transcutanea	     
 1 problème pour uriner / troubles urinaires	disturbo a urinare	     
 1 progestative	progestinica	     
 1 pro-pharmacie	profarmacia / pro farmacia	     
 1 prothèse par (sur/) la veine jugulaire-anonyme avec anamnèse de thrombose précédente	protesi venosa giugulo-anonima con anamnesi di pregressa trombosi	     
 1 prothèses dentaires conjointes / adjointes	protesi dentarie fisse / mobili	     
 1 quantité totale / sur la quantité totale (TQ [commerce] = total quantity)	t.q. / su t.q.	     
 2 quelle est l'intensité de votre (/de sa) douleur	quanto dolore ha	     
 1 quelques nutraceutiques	alcuni nutraceutici	     
 1 Raie cosmique	riga spettrale cosmica	     
 1 réduction davier sur vis	riduzione tenaglia su viti / riduzione su viti con tenaglia per ossa	     
 1 régisseur (d'un hôpital /centre hospitalier)	amministratore (di un ospedale)	     
 1 résultats	esiti	     
 1 rotation externe maximum / rotation externe maximale	massima extrarotazione	     
 1 Tassements alimentaires	residui alimentari	     
 1 thrombopénie	piastrinopenia	     
 1 tiges/axes de blocage	perni di bloccaggio	     
 1 tous motifs confondus	senza specificazione / distinzione motivazionale / di causa	     
 1 troubles intestinaux	disturbi intestinali	     
 1 Urologie  gravité	uso / impiego urologico a gravità	     
 1 utilisation rationnelle	razionale d'uso	     
 1 voie	via	     
